game_key,developer_key,allocation_factor,is_primary
817,7803,1.0,1
818,194,1.0,1
819,3302,1.0,1
820,936,1.0,1
821,9480,1.0,1
822,10666,1.0,1
823,2898,1.0,1
824,3119,1.0,1
825,8661,1.0,1
826,6007,0.5,1
826,4381,0.5,0
827,9798,1.0,1
828,8226,1.0,1
829,3686,1.0,1
830,9599,1.0,1
831,3169,1.0,1
832,9049,1.0,1
833,1349,1.0,1
834,4260,1.0,1
835,5038,1.0,1
836,1785,1.0,1
837,7122,1.0,1
838,6008,1.0,1
839,766,1.0,1
840,3473,1.0,1
841,5121,1.0,1
842,1811,1.0,1
843,11999,1.0,1
844,7770,1.0,1
845,6088,1.0,1
846,1690,1.0,1
847,1538,1.0,1
848,2602,1.0,1
