developer_key,developer_name
851,Atthus Games
852,AttritoM7 Productions
853,Aubega
854,Audune
855,Augmented Irreality
856,AuraTummyache
857,Aurea Games Studio
858,Auroch Digital
859,Aurogon Shanghai
860,Aurora Boreala
861,Auroriax
862,AurumDust
863,Austin M.
864,Autarca
865,Authogin
866,AutoAttack Games
867,AutoRotate180
868,Autoexec Games
869,Autumn Rain
870,Autumn Senior
871,AvaXiang
872,Avalanche Software
873,Avalon Digital
874,Avant Games
875,Avelar Studios
876,Avelog Games
877,Average Games
878,Avernus Software
879,Avery Craig - Design Team
880,Avix Games
881,Awaken Realms
882,Awe Interactive
883,Awesome Games
884,Awesome Games Studio
885,Axan Gray
886,Axe Games
887,Axel Sonic
888,Axias
889,Axis Games
890,"Axol Studio, LLC"
891,Axoora
892,Axyos Games
893,"AyDream Co., Ltd."
894,Ayacat Games
895,Ayatsuji_San
896,Aydy
897,Ayrton
898,Aza Game Studio
899,Aztech
900,Azure
901,Azure Drop Studios
902,Azure Mountain
903,Azurekai
904,À̷̟i̸̛͔̪̋́͗̆̑̈́͆̑̈́̅̈́͝r̴̛͎͚͎͍̘̣̈́͑̃͆̾̐̅̑͐̄͊͌̆̊ȩ̸̢̩͎̤̙̝͙̳̯̠̰̒ͅm̴̡̢̜̩͕̹̑́͒̒͒̚
905,B. Maksym (Linker)
906,B.A.G
907,B3 Studios
908,BANDAI NAMCO Studios Inc.
909,BASI Studios
910,BASTI GAMES
911,BATOVI Games
912,BAY GAMES
913,BBC Media Applications Technologies Ltd
914,BBG Entertainment GmbH
915,BBQ大好き
916,BBR
917,BBlack Studio
918,BBstudio Inc.
919,BEDiBUG Concepts
920,BEESWAX GAMES
921,BEHEMUTT
922,"BEIJING IQIYI SCIENCE & TECHNOLOGY CO., LTD."
923,BEPLAYER
924,BETA
925,BG Productions
926,BIFROST CLOUD PTE. LTD.
927,BIGYBOX Games
928,BINGOBELL
929,BITach
930,BK dddDang
931,BKNLab
932,BKOM Studios
933,BL-Logic
934,BLANBEE
935,BLITZ VR
936,BLOCK 211
937,BLOK Games
938,BLOODIOUS GAMES
939,BLUE LIFE
940,BLUE TORCH SOFTWARE
941,BLUECUBE
942,BN Games
943,BONE MADE
944,BONNATE
945,BOV
946,BP
947,BR-Digital
948,BRIAN DAMAGE
949,BRINK XR
950,BRUTE FORCE
951,BT Studios
952,BTrain Studio
953,BUG DUCK GAMES
954,BUG-Studio
955,BULKHEAD
956,BULLWARESOFT
957,BUSAN SANAI GAMES
958,BYKING
959,Baba Nura
960,"Babaoga, LLC"
961,Baby Bison Games
962,Back to Games
963,BackSlash Games
964,BackSnow Games
965,Bacronym
966,Bad Blood Studios
967,Bad Button Studio
968,Bad Byte Games
969,Bad Coffee Games
970,Bad Days Game Studios
971,Bad Dream Games
972,Bad Fox Studios
973,Bad Gremlin Studios
974,Bad Kid Games
975,Bad Minions
976,Bad Pixel
977,Bad Vices Games
978,Bad Viking
979,Bad Weather Studios
980,Bad Yolk Games
981,BadMudStudio
982,BadWolf Games
983,BaddWeather
984,Baggy Cat Ltd.
985,Bahman Aminipour
986,Baked Games
987,Bakumatsu Games
988,Balancing Monkey Games
989,Balazs Rozsa
990,Balbod
991,Balcony Softworks
992,BaleYc Studios
993,Balio Studio
994,Ballistic Interactive
995,Balti Calarasi
996,BamSam Game Studio
997,Bambuseae Games
998,BambuseaeGames
999,Bamtang Games
1000,Bamya Games
1001,"Banana Bird Studios, LLC"
1002,Banana Bytes
1003,BananaDogGames
1004,Bananamanhatguy
1005,Banco
1006,Bandage and Go Studio
1007,Bandai Namco Forge Digitals Inc.
1008,Bandai Namco Studios Inc.
1009,BandanaKid
1010,Bandit Visual Games
1011,Banger Chasers
1012,Bango.Games
1013,Banshee Cat
1014,BanzaiProject
1015,Baobab Studios
1016,Baptiste Portefaix
1017,Bar Holographic Otaku
1018,Bar Shift Games
1019,BarCoffee Studio
1020,Barbara Bode
1021,Barbedwire Studios
1022,Bare Knuckle Development
1023,Bark Bark Games
1024,BarkeyGames
1025,Barlow Studio
1026,Barnaque
1027,BarneyJia
1028,Baronnerie Games
1029,Barracuda Disaster
1030,Barrel Roll Games
1031,Barrel Smash Studios
1032,Barricade Studio
1033,Barspin Studios
1034,Bart Bonte
1035,Bartek Karczmarczyk
1036,Barthdamon
1037,Bartoluw Game
1038,Bartosh Polonski
1039,Bartoš Studio
1040,Basalt Tower
1041,Based On The Play
1042,Baseline Games
1043,"Bashir ""ManliestDev"" Kashalo"
1044,Basically Games
1045,Bass
1046,Bastian von Gostomski
1047,Bastienre4
1048,Bastion Studio (FR)
1049,Bathysfear Labs
1050,Batterneers Dev
1051,Batterystaple Games
1052,BattleCare Inc
1053,BattleGoat Studios
1054,Battlefront
1055,Batuhan Ertan
1056,Batuhan Guner
1057,Batuhan Necati Keleş
1058,Bay 12 Games
1059,Bazaar Games
1060,Bazzucco Entertainment
1061,Be-Rad Entertainment
1062,BeJotah
1063,BeXide Inc.
1064,Beam Software
1065,"Beam Software Pty., Ltd."
1066,Beam Team Games
